Index,Open,High,Low,Close,Volume
2013-11-07,45.1,50.0,44.0,44.9,36774336
2013-11-08,46.0,46.9,40.69,41.65,4695902
2013-11-11,40.45,43.0,39.41,42.9,2771600
2013-11-12,43.57,43.58,41.84,41.9,968968
2013-11-13,41.1,42.86,40.76,42.6,1945774
2013-11-14,42.31,45.66,42.3,44.69,1543577
2013-11-15,45.27,45.27,43.45,43.98,990888
2013-11-18,43.5,43.94,40.86,41.14,1614908
2013-11-19,41.3,41.9,40.0,41.75,1117699
2013-11-20,41.4,41.75,40.51,41.05,774141
2013-11-21,41.24,42.48,40.38,42.06,1027780
2013-11-22,41.81,42.25,40.97,41.0,632431
2013-11-25,40.93,41.08,38.8,39.06,1733857
2013-11-26,39.12,40.55,38.93,40.18,1281826
2013-11-27,40.47,41.4,40.39,40.9,718499
2013-11-29,41.4,41.58,40.95,41.57,549754
2013-12-02,41.75,42.0,40.42,40.78,998162
2013-12-03,40.69,41.6,40.59,41.37,916547
2013-12-04,41.35,43.9,41.3,43.69,1391778
2013-12-05,43.5,46.34,42.83,45.62,1790712
2013-12-06,45.75,45.8,44.55,44.95,997772
2013-12-09,45.48,49.84,45.07,49.14,2472473
2013-12-10,48.9,52.58,48.7,51.99,3395362
2013-12-11,52.39,53.87,51.0,52.34,2426556
2013-12-12,52.23,55.87,50.7,55.33,2551133
2013-12-13,56.25,59.41,55.46,59.0,3187073
2013-12-16,58.03,60.2,55.77,56.61,3814832
2013-12-17,57.3,57.3,54.62,56.45,2166122
2013-12-18,57.0,57.0,54.23,55.51,1636943
2013-12-19,55.23,57.74,55.0,57.49,1205730
2013-12-20,58.67,60.25,58.01,60.01,5265699
2013-12-23,60.25,64.99,59.7,64.54,2014918
2013-12-24,66.31,70.84,65.56,69.96,2596558
2013-12-26,72.65,74.73,69.14,73.31,5819384
2013-12-27,70.01,71.21,63.69,63.75,4160533
2013-12-30,60.03,63.71,58.57,60.51,3958696
2013-12-31,62.43,65.22,61.7,63.65,1595591
2014-01-02,65.0,67.5,64.4,67.5,1583390
2014-01-03,68.81,70.43,68.47,69.0,2139572
2014-01-06,65.0,66.85,63.5,66.29,1489830
2014-01-07,67.73,67.73,61.4,61.46,2980932
2014-01-08,58.72,61.25,57.95,59.29,2213561
2014-01-09,59.34,60.81,55.59,57.05,2013880
2014-01-10,57.58,58.76,55.88,57.0,1602723
2014-01-13,60.0,60.38,57.3,57.82,1610289
2014-01-14,58.98,59.0,57.39,58.21,785693
2014-01-15,59.11,61.75,58.33,61.57,1367283
2014-01-16,61.51,62.4,60.46,60.57,1090708
2014-01-17,63.54,64.69,61.59,62.2,2103015
2014-01-21,63.44,63.44,61.51,62.53,1531688
2014-01-22,62.87,63.78,61.77,62.44,1247118
2014-01-23,61.17,62.81,60.88,62.8,933392
2014-01-24,62.2,63.62,61.3,61.74,1182009
2014-01-27,61.6,61.71,56.1,57.91,1632826
2014-01-28,57.48,60.85,57.43,60.44,760337
2014-01-29,59.72,60.94,58.61,59.45,616368
2014-01-30,63.95,65.24,62.85,63.47,1586783
2014-01-31,63.47,65.37,62.67,64.5,1128037
2014-02-03,66.0,66.47,64.24,65.25,1990948
2014-02-04,66.1,66.37,64.6,66.32,1132899
2014-02-05,67.18,67.2,64.81,65.97,1822154
2014-02-06,50.59,53.9,50.0,50.03,5661906
2014-02-07,51.3,54.92,50.75,54.35,2810328
2014-02-10,54.5,54.56,52.35,52.92,1398598
2014-02-11,53.31,54.4,53.1,54.0,1493377
2014-02-12,55.15,57.0,54.76,56.85,2068300
2014-02-13,56.15,58.96,55.48,56.47,2512967
2014-02-14,57.0,57.86,56.7,57.44,1177387
2014-02-18,58.0,58.64,56.77,58.18,1131128
2014-02-19,58.24,58.95,54.63,55.5,2089165
2014-02-20,55.63,57.07,54.65,56.63,1184062
2014-02-21,57.1,57.17,55.7,55.92,696831
2014-02-24,56.03,56.43,55.32,55.78,854143
2014-02-25,55.95,55.95,54.5,54.96,739153
2014-02-26,54.92,56.98,54.9,55.87,906861
2014-02-27,56.32,56.69,55.4,55.77,546747
